Order,Date,Day,Plot,Treatment,Mf,Oa,Pm,Rr
1,26-Jul-13,3,Wild Rose,I,2,1,1,1
2,30-Jul-13,7,Autumn Olive,A,,,,
2,30-Jul-13,7,Autumn Olive,B,3,,,
2,30-Jul-13,7,Autumn Olive,C,3,,1,
2,30-Jul-13,7,Autumn Olive,D,,0,,
2,30-Jul-13,7,Autumn Olive,E,,0,,1
2,30-Jul-13,7,Autumn Olive,F,3,0,,
2,30-Jul-13,7,Autumn Olive,G,1,0,1,
2,30-Jul-13,7,Autumn Olive,H,3,0,,1
2,30-Jul-13,7,Autumn Olive,I,3,0,1,1
2,30-Jul-13,7,Central Plot,A,,,,
2,30-Jul-13,7,Central Plot,B,2,,,
2,30-Jul-13,7,Central Plot,C,3,,1,
2,30-Jul-13,7,Central Plot,D,,0,,
2,30-Jul-13,7,Central Plot,E,,0,,1
2,30-Jul-13,7,Central Plot,F,2,0,,
2,30-Jul-13,7,Central Plot,G,2,0,1,
2,30-Jul-13,7,Central Plot,H,3,0,,1
2,30-Jul-13,7,Central Plot,I,2,0,1,1
2,30-Jul-13,7,Pinus Strobus,A,,,,
2,30-Jul-13,7,Pinus Strobus,B,3,,,
2,30-Jul-13,7,Pinus Strobus,C,3,,1,
2,30-Jul-13,7,Pinus Strobus,D,,0,,
2,30-Jul-13,7,Pinus Strobus,E,,0,,1
2,30-Jul-13,7,Pinus Strobus,F,3,0,,
2,30-Jul-13,7,Pinus Strobus,G,3,0,1,
2,30-Jul-13,7,Pinus Strobus,H,3,0,,1
2,30-Jul-13,7,Pinus Strobus,I,2,0,1,1
2,30-Jul-13,7,Red rugosa,A,,,,
2,30-Jul-13,7,Red rugosa,B,3,,,
2,30-Jul-13,7,Red rugosa,C,2,,1,
2,30-Jul-13,7,Red rugosa,D,,0,,
2,30-Jul-13,7,Red rugosa,E,,0,,1
2,30-Jul-13,7,Red rugosa,F,3,0,,
2,30-Jul-13,7,Red rugosa,G,2,0,1,
2,30-Jul-13,7,Red rugosa,H,3,0,,1
2,30-Jul-13,7,Red rugosa,I,2,0,1,1
2,30-Jul-13,7,Wild Rose,A,,,,
2,30-Jul-13,7,Wild Rose,B,3,,,
2,30-Jul-13,7,Wild Rose,C,3,,1,
2,30-Jul-13,7,Wild Rose,D,,0,,
2,30-Jul-13,7,Wild Rose,E,,0,,0
2,30-Jul-13,7,Wild Rose,F,3,0,,
2,30-Jul-13,7,Wild Rose,G,3,0,1,
2,30-Jul-13,7,Wild Rose,H,2,0,,1
2,30-Jul-13,7,Wild Rose,I,1,0,1,1
3,4-Aug-13,12,Autumn Olive,A,,,,
3,4-Aug-13,12,Autumn Olive,B,3,,,
3,4-Aug-13,12,Autumn Olive,C,3,,1,
3,4-Aug-13,12,Autumn Olive,D,,0,,
3,4-Aug-13,12,Autumn Olive,E,,0,,1
3,4-Aug-13,12,Autumn Olive,F,3,0,,
3,4-Aug-13,12,Autumn Olive,G,1,0,1,
3,4-Aug-13,12,Autumn Olive,H,2,0,,1
3,4-Aug-13,12,Autumn Olive,I,3,0,1,1
3,4-Aug-13,12,Central Plot,A,,,,
3,4-Aug-13,12,Central Plot,B,2,,,
3,4-Aug-13,12,Central Plot,C,3,,1,
3,4-Aug-13,12,Central Plot,D,,0,,
3,4-Aug-13,12,Central Plot,E,,0,,1
3,4-Aug-13,12,Central Plot,F,2,0,,
3,4-Aug-13,12,Central Plot,G,2,1,1,
3,4-Aug-13,12,Central Plot,H,2,0,,1
3,4-Aug-13,12,Central Plot,I,1,0,1,1
3,4-Aug-13,12,Pinus Strobus,A,,,,
3,4-Aug-13,12,Pinus Strobus,B,3,,,
3,4-Aug-13,12,Pinus Strobus,C,3,,1,
3,4-Aug-13,12,Pinus Strobus,D,,0,,
3,4-Aug-13,12,Pinus Strobus,E,,0,,1
3,4-Aug-13,12,Pinus Strobus,F,3,0,,
3,4-Aug-13,12,Pinus Strobus,G,2,0,1,
3,4-Aug-13,12,Pinus Strobus,H,3,0,,1
3,4-Aug-13,12,Pinus Strobus,I,2,0,1,1
3,4-Aug-13,12,Red rugosa,A,,,,
3,4-Aug-13,12,Red rugosa,B,3,,,
3,4-Aug-13,12,Red rugosa,C,2,,1,
3,4-Aug-13,12,Red rugosa,D,,0,,
3,4-Aug-13,12,Red rugosa,E,,0,,1
3,4-Aug-13,12,Red rugosa,F,3,0,,
3,4-Aug-13,12,Red rugosa,G,2,0,1,
3,4-Aug-13,12,Red rugosa,H,3,0,,1
3,4-Aug-13,12,Red rugosa,I,2,0,1,1
3,4-Aug-13,12,Wild Rose,A,,,,
3,4-Aug-13,12,Wild Rose,B,3,,,
3,4-Aug-13,12,Wild Rose,C,3,,1,
3,4-Aug-13,12,Wild Rose,D,,0,,
3,4-Aug-13,12,Wild Rose,E,,0,,0
3,4-Aug-13,12,Wild Rose,F,3,0,,
3,4-Aug-13,12,Wild Rose,G,2,0,1,
3,4-Aug-13,12,Wild Rose,H,2,0,,1
3,4-Aug-13,12,Wild Rose,I,1,0,1,1
4,20-Aug-13,28,Autumn Olive,A,,,,
4,20-Aug-13,28,Autumn Olive,B,3,,,
4,20-Aug-13,28,Autumn Olive,C,3,,1,
4,20-Aug-13,28,Autumn Olive,D,,0,,
4,20-Aug-13,28,Autumn Olive,E,,0,,1
4,20-Aug-13,28,Autumn Olive,F,3,0,,
4,20-Aug-13,28,Autumn Olive,G,1,0,1,
4,20-Aug-13,28,Autumn Olive,H,2,0,,1
4,20-Aug-13,28,Autumn Olive,I,3,0,1,1
4,20-Aug-13,28,Central Plot,A,,,,
4,20-Aug-13,28,Central Plot,B,1,,,
4,20-Aug-13,28,Central Plot,C,3,,1,
4,20-Aug-13,28,Central Plot,D,,0,,
4,20-Aug-13,28,Central Plot,E,,0,,1
4,20-Aug-13,28,Central Plot,F,2,0,,
4,20-Aug-13,28,Central Plot,G,2,0,1,
4,20-Aug-13,28,Central Plot,H,2,0,,1
4,20-Aug-13,28,Central Plot,I,1,0,1,1
4,20-Aug-13,28,Pinus Strobus,A,,,,
4,20-Aug-13,28,Pinus Strobus,B,3,,,
4,20-Aug-13,28,Pinus Strobus,C,3,,1,
4,20-Aug-13,28,Pinus Strobus,D,,0,,
4,20-Aug-13,28,Pinus Strobus,E,,0,,1
4,20-Aug-13,28,Pinus Strobus,F,2,0,,
4,20-Aug-13,28,Pinus Strobus,G,2,0,1,
4,20-Aug-13,28,Pinus Strobus,H,1,0,,1
4,20-Aug-13,28,Pinus Strobus,I,2,0,1,1
4,20-Aug-13,28,Red rugosa,A,,,,
4,20-Aug-13,28,Red rugosa,B,3,,,
4,20-Aug-13,28,Red rugosa,C,2,,1,
4,20-Aug-13,28,Red rugosa,D,,0,,
4,20-Aug-13,28,Red rugosa,E,,0,,1
4,20-Aug-13,28,Red rugosa,F,3,0,,
4,20-Aug-13,28,Red rugosa,G,2,0,1,
4,20-Aug-13,28,Red rugosa,H,3,0,,1
4,20-Aug-13,28,Red rugosa,I,2,0,1,1
4,20-Aug-13,28,Wild Rose,A,,,,
4,20-Aug-13,28,Wild Rose,B,3,,,
4,20-Aug-13,28,Wild Rose,C,3,,1,
4,20-Aug-13,28,Wild Rose,D,,0,,
4,20-Aug-13,28,Wild Rose,E,,0,,0
4,20-Aug-13,28,Wild Rose,F,3,0,,
4,20-Aug-13,28,Wild Rose,G,2,0,1,
4,20-Aug-13,28,Wild Rose,H,2,0,,1
4,20-Aug-13,28,Wild Rose,I,1,0,1,1
5,30-Aug-13,38,Autumn Olive,A,,,,
5,30-Aug-13,38,Autumn Olive,B,3,,,
5,30-Aug-13,38,Autumn Olive,C,3,,1,
5,30-Aug-13,38,Autumn Olive,D,,0,,
5,30-Aug-13,38,Autumn Olive,E,,0,,1
5,30-Aug-13,38,Autumn Olive,F,3,0,,
5,30-Aug-13,38,Autumn Olive,G,1,0,1,
5,30-Aug-13,38,Autumn Olive,H,2,0,,1
5,30-Aug-13,38,Autumn Olive,I,3,0,1,1
5,30-Aug-13,38,Central Plot,A,,,,
5,30-Aug-13,38,Central Plot,B,1,,,
5,30-Aug-13,38,Central Plot,C,3,,1,
5,30-Aug-13,38,Central Plot,D,,0,,
5,30-Aug-13,38,Central Plot,E,,0,,1
5,30-Aug-13,38,Central Plot,F,2,0,,
5,30-Aug-13,38,Central Plot,G,2,0,1,
5,30-Aug-13,38,Central Plot,H,2,0,,1
5,30-Aug-13,38,Central Plot,I,1,0,1,1
5,30-Aug-13,38,Pinus Strobus,A,,,,
5,30-Aug-13,38,Pinus Strobus,B,3,,,
5,30-Aug-13,38,Pinus Strobus,C,3,,1,
5,30-Aug-13,38,Pinus Strobus,D,,0,,
5,30-Aug-13,38,Pinus Strobus,E,,0,,1
5,30-Aug-13,38,Pinus Strobus,F,2,0,,
5,30-Aug-13,38,Pinus Strobus,G,2,0,1,
5,30-Aug-13,38,Pinus Strobus,H,1,0,,1
5,30-Aug-13,38,Pinus Strobus,I,2,0,0,1
5,30-Aug-13,38,Red rugosa,A,,,,
5,30-Aug-13,38,Red rugosa,B,3,,,
5,30-Aug-13,38,Red rugosa,C,1,,1,
5,30-Aug-13,38,Red rugosa,D,,0,,
5,30-Aug-13,38,Red rugosa,E,,0,,1
5,30-Aug-13,38,Red rugosa,F,3,0,,
5,30-Aug-13,38,Red rugosa,G,2,0,1,
5,30-Aug-13,38,Red rugosa,H,3,0,,1
5,30-Aug-13,38,Red rugosa,I,2,0,1,1
5,30-Aug-13,38,Wild Rose,A,,,,
5,30-Aug-13,38,Wild Rose,B,3,,,
5,30-Aug-13,38,Wild Rose,C,3,,1,
5,30-Aug-13,38,Wild Rose,D,,0,,
5,30-Aug-13,38,Wild Rose,E,,0,,0
5,30-Aug-13,38,Wild Rose,F,3,0,,
5,30-Aug-13,38,Wild Rose,G,1,0,1,
5,30-Aug-13,38,Wild Rose,H,2,0,,1
5,30-Aug-13,38,Wild Rose,I,1,0,0,1
6,7-Sep-13,46,Autumn Olive,A,,,,
6,7-Sep-13,46,Autumn Olive,B,3,,,
6,7-Sep-13,46,Autumn Olive,C,3,,1,
6,7-Sep-13,46,Autumn Olive,D,,0,,
6,7-Sep-13,46,Autumn Olive,E,,0,,1
6,7-Sep-13,46,Autumn Olive,F,3,1,,
6,7-Sep-13,46,Autumn Olive,G,1,0,1,
6,7-Sep-13,46,Autumn Olive,H,2,0,,1
6,7-Sep-13,46,Autumn Olive,I,3,0,0,1
6,7-Sep-13,46,Central Plot,A,,,,
6,7-Sep-13,46,Central Plot,B,1,,,
6,7-Sep-13,46,Central Plot,C,2,,1,
6,7-Sep-13,46,Central Plot,D,,0,,
6,7-Sep-13,46,Central Plot,E,,0,,1
6,7-Sep-13,46,Central Plot,F,2,0,,
6,7-Sep-13,46,Central Plot,G,2,0,1,
6,7-Sep-13,46,Central Plot,H,2,0,,1
6,7-Sep-13,46,Central Plot,I,1,0,1,1
6,7-Sep-13,46,Pinus Strobus,A,,,,
6,7-Sep-13,46,Pinus Strobus,B,3,,,
6,7-Sep-13,46,Pinus Strobus,C,3,,1,
6,7-Sep-13,46,Pinus Strobus,D,,0,,
6,7-Sep-13,46,Pinus Strobus,E,,0,,1
6,7-Sep-13,46,Pinus Strobus,F,2,0,,
6,7-Sep-13,46,Pinus Strobus,G,2,0,1,
6,7-Sep-13,46,Pinus Strobus,H,1,0,,1
6,7-Sep-13,46,Pinus Strobus,I,1,0,0,1
6,7-Sep-13,46,Red rugosa,A,,,,
6,7-Sep-13,46,Red rugosa,B,3,,,
6,7-Sep-13,46,Red rugosa,C,1,,1,
6,7-Sep-13,46,Red rugosa,D,,0,,
6,7-Sep-13,46,Red rugosa,E,,0,,1
6,7-Sep-13,46,Red rugosa,F,3,0,,
6,7-Sep-13,46,Red rugosa,G,2,0,1,
6,7-Sep-13,46,Red rugosa,H,3,0,,0
6,7-Sep-13,46,Red rugosa,I,2,0,0,1
6,7-Sep-13,46,Wild Rose,A,,,,
6,7-Sep-13,46,Wild Rose,B,2,,,
6,7-Sep-13,46,Wild Rose,C,3,,1,
6,7-Sep-13,46,Wild Rose,D,,0,,
6,7-Sep-13,46,Wild Rose,E,,1,,0
6,7-Sep-13,46,Wild Rose,F,3,0,,
6,7-Sep-13,46,Wild Rose,G,1,3,1,
6,7-Sep-13,46,Wild Rose,H,2,0,,1
6,7-Sep-13,46,Wild Rose,I,1,0,0,1
